Material,Descripción,CARREFOUR,CHANGO MAS,COOPERATIVA OBRERA (Bahia Blanca),COTO,DIA %,DIARCO,Hergo (MDP),JUMBO,LUVIK S.A.,MAKRO,"Mar del Plata, EL GAUCHITO",MAXI CARREFOUR,MAXICONSUMO,NINI,PLAZA VEA,VITAL,YAGUAR,Total general,Descripcion_Norm,Precio_Minimo,Precio_Maximo,Precio_Promedio,Competidores_Activos,Ganador,Ahorro_Pct,Ahorro_Abs
185839,Gomitas MOGUL tubitos frutilla x620gr,,,,,,,,,,,,,,,"12750,0","10225,0",,"11487,5",GOMITAS MOGUL TUBITOS FRUTILLA X620GR,"10225,0","12750,0","11487,5",2,VITAL,"10,990206746463548","1262,5"
185840,Caramelos MOGUL palotes surtid bol x120g,,,,,,,,,,,,,,,,"1829,0",,"1829,0",CARAMELOS MOGUL PALOTES SURTID BOL X120G,"1829,0","1829,0","1829,0",1,VITAL,"0,0","0,0"
185841,Agua Micelar NEUTROGENA h. boost x200ml,,"12419,0",,"12419,0",,,,"13350,0",,,,,,,"12700,0","11009,0",,"12379,4",AGUA MICELAR NEUTROGENA H. BOOST X200ML,"11009,0","12700,0","12042,666666666666",3,VITAL,"8,583370239149685","1033,666666666666"
185842,Caramelos MOGUL palotes sandia bol x120g,,,,,,,,,,,,,,,,"1829,0",,"1829,0",CARAMELOS MOGUL PALOTES SANDIA BOL X120G,"1829,0","1829,0","1829,0",1,VITAL,"0,0","0,0"
185843,Crema facial NEUTROGENA mate 3en1 x100gr,,"9469,0",,"9465,0",,,,,,,,,,,,"9459,0",,"9464,333333333334",CREMA FACIAL NEUTROGENA MATE 3EN1 X100GR,"9459,0","9465,0","9462,0",2,VITAL,"0,03170577045022194","3,0"
185844,Crema corp NEUTROGENA hidr y rep x200ml,"5749,0","5749,0",,"5748,0",,,,"6550,0",,,,,,,,"4725,0",,"5704,2",CREMA CORP NEUTROGENA HIDR Y REP X200ML,"4725,0","5749,0","5407,333333333333",3,VITAL,"12,618666009123409","682,333333333333"
185845,Crema corp NEUTROGENA hidr y suav x200ml,"5749,0","5749,0",,"5748,0",,,,"6550,0",,,,,,,,"4725,0",,"5704,2",CREMA CORP NEUTROGENA HIDR Y SUAV X200ML,"4725,0","5749,0","5407,333333333333",3,VITAL,"12,618666009123409","682,333333333333"
185846,Chocolate COFLER BLOCKAZO x1kg,"37550,0",,,"39323,0",,,,,,,,,,,,"25375,0",,"34082,666666666664",CHOCOLATE COFLER BLOCKAZO X1KG,"25375,0","39323,0","34082,666666666664",3,VITAL,"25,54866598857679","8707,666666666664"
185847,Chocolate COFLER block miti miti x170g,,"7309,0",,,,,,"7700,0",,,,,,"6141,59","7350,0","5599,0",,"6819,918",CHOCOLATE COFLER BLOCK MITI MITI X170G,"5599,0","7350,0","6363,53",3,VITAL,"12,01424366664414","764,5299999999997"
185848,Medallon chocolate AGUILA menta 15ux14g,,,,,,,,,,,,,,,,"9485,0",,"9485,0",MEDALLON CHOCOLATE AGUILA MENTA 15UX14G,"9485,0","9485,0","9485,0",1,VITAL,"0,0","0,0"
185849,Bocadito CABSHA estuche 18ux10gr,,,,,,,,,,,,,,,,"5199,0",,"5199,0",BOCADITO CABSHA ESTUCHE 18UX10GR,"5199,0","5199,0","5199,0",1,VITAL,"0,0","0,0"
185850,Bombon BON O BON chocolinas cj. 18ux15gr,,,,"9857,0",,,,,,,,,"6999,9","7691,6",,"4999,0",,"7386,875",BOMBON BON O BON CHOCOLINAS CJ. 18UX15GR,"4999,0","9857,0","7386,875",4,VITAL,"32,325915898130134","2387,875"
185851,Bombon BON O BON aguila caja 18ux15g,,,,"9857,0",,,,"10350,0",,,,,,"7691,6","9900,0","6479,0",,"8855,52",BOMBON BON O BON AGUILA CAJA 18UX15G,"6479,0","9900,0","8481,9",4,VITAL,"23,613812942854782","2002,8999999999996"
185852,Barrita chocolate ROCKLETS x44gr,,,,"1722,99",,,,,,,,,,"1284,4",,"1459,0",,"1488,7966666666669",BARRITA CHOCOLATE ROCKLETS X44GR,"1284,4","1722,99","1488,7966666666669",3,NINI,"13,728984705769093","204,39666666666676"
