Material,Descripcion_Norm,Rubro,CARREFOUR,CHANGO MAS,COOPERATIVA OBRERA (Bahia Blanca),COTO,DIA %,DIARCO,Hergo (MDP),JUMBO,LUVIK S.A.,MAKRO,MAXI CARREFOUR,MAXICONSUMO,"Mar del Plata, EL GAUCHITO",NINI,PLAZA VEA,VITAL,YAGUAR,Unidad_Metrica,Marca_Sugerida,Nombre_Unificado,Precio_Minimo,Precio_Maximo,Precio_Promedio,Competidores_Activos,Ganador,Tipo_Ganador,Ahorro_Pct,Ahorro_Abs,Es_Bomba
181904,MEDALLON DE POLLO GDS +CROC 4UX82.5G,HAMBURGUESAS Y MEDAL,,"8009,0",,"7999,0",,,,"8450,0",,,,,,,"8400,0","6959,0",,4U,MEDALLON,MEDALLON DE POLLO GDS +CROC 4UX82.5G,"6959,0","8450,0","7963,4",5,VITAL,LISTA,"12,61270311675917","1004,3999999999996",False
181905,NUGGETS DE POLLO GDS X400G,REBOZADOS,"10279,0",,,"10380,0","10075,0",,,"10900,0",,,,,,,,"8199,0","8200,0",400GR,NUGGETS,NUGGETS DE POLLO GDS X400G,"8199,0","10900,0","9672,166666666666",6,VITAL,LISTA,"15,230989264728684","1473,166666666666",False
181906,SUPREMITAS DE POLLO GDS +CROC X480G,REBOZADOS,,"11919,0",,"11920,0",,"10803,85",,,,"10600,0",,"9198,99",,,,"10069,0","9745,0",480GR,SUPREMITAS,SUPREMITAS DE POLLO GDS +CROC X480G,"9198,99","11920,0","10607,977142857142",7,MAXICONSUMO,LISTA,"13,282335773186322","1408,9871428571423",False
181907,SUPREMA DE POLLO GDS REBOZADO X360G,REBOZADOS,,"10159,0",,"10155,0","10150,0",,,"10700,0",,,,,,,"10650,0","8305,0","8305,0",360GR,SUPREMA,SUPREMA DE POLLO GDS REBOZADO X360G,"8305,0","10700,0","9774,857142857143",7,"VITAL, YAGUAR",LISTA,"15,037121477844034","1469,8571428571431",False
181908,MILA GDS MIX DE LEGUMBRES +CROC 4UX82.5G,REBOZADOS,"5715,0","5719,0",,"5715,0",,,,"6050,0",,,,,,,"5750,0","4979,0",,4U,MILA,MILA GDS MIX DE LEGUMBRES +CROC 4UX82.5G,"4979,0","6050,0","5654,666666666667",6,VITAL,LISTA,"11,94883282244754","675,666666666667",False
181909,NUGGETS DE POLLO GDS X900G,REBOZADOS,,"21209,0",,"21210,0","20685,0","18855,73",,,,"17700,0",,"13999,9",,,,"17679,0","16740,0",900GR,NUGGETS,NUGGETS DE POLLO GDS X900G,"13999,9","21210,0","18509,82875",8,MAXICONSUMO,OFERTA,"24,36504848809042","4509,928750000001",False
181910,MILA DE SOJA GDS ESP/QUES +CROC 4UX82.5G,MILANESA DE ARROZ,,,,"7090,0",,,,,,,,,,,,"6169,0",,4U,MILA,MILA DE SOJA GDS ESP/QUES +CROC 4UX82.5G,"6169,0","7090,0","6629,5",2,VITAL,LISTA,"6,946225205520778","460,5",False
181913,CHUP. PALITOS DE LA SELVA FRU/VAI X432GR,CHUPETINES,,"6519,0",,"6519,0",,"5677,02",,,,,,,,,"7500,0","5195,0","4999,0",432GR,CHUP.,CHUP. PALITOS DE LA SELVA FRU/VAI X432GR,"4999,0","7500,0","6068,170000000001",6,YAGUAR,LISTA,"17,61931521364762","1069,170000000001",False
181914,CHOCOLATE TOKKE CON LECHE Y MANI X500GR,CHICLES TABLETAS,,,,,,,,,,,,,,,,"12209,0",,500GR,CHOCOLATE,CHOCOLATE TOKKE CON LECHE Y MANI X500GR,"12209,0","12209,0","12209,0",1,VITAL,LISTA,"0,0","0,0",False
181915,CHOCOLATE DAQUI C/LECHE Y MANI X120GRS,CHICLES TABLETAS,,,,,,,,,,,,,,,,"1299,0",,120GR,CHOCOLATE,CHOCOLATE DAQUI C/LECHE Y MANI X120GRS,"1299,0","1299,0","1299,0",1,VITAL,LISTA,"0,0","0,0",False
181916,MADALENA VALENTE MARMOLADA X200GR,BUDINES Y MAGDALENAS,"2879,0","2879,0",,,,"2520,01",,"3050,0",,,"2447,0",,,,"2900,0","2199,0","2199,0",200GR,MADALENA,MADALENA VALENTE MARMOLADA X200GR,"2199,0","3050,0","2634,1262500000003",8,"VITAL, YAGUAR",LISTA,"16,518807707109715","435,12625000000025",False
181917,CHOCOLATE GEORGALOS S/AZU.C/LECHE X70GRS,CHICLES TABLETAS,,,,"6352,0",,,,,,,,,,,,"4395,0",,70GR,CHOCOLATE,CHOCOLATE GEORGALOS S/AZU.C/LECHE X70GRS,"4395,0","6352,0","5373,5",2,VITAL,LISTA,"18,20973294872988","978,5",False
181918,CHOCOLATE GEORGALOS S/AZU.C/ALM. X70GRS,CHICLES TABLETAS,,,,,,,,,,,,,,,,"4395,0",,70GR,CHOCOLATE,CHOCOLATE GEORGALOS S/AZU.C/ALM. X70GRS,"4395,0","4395,0","4395,0",1,VITAL,LISTA,"0,0","0,0",False
181919,MADALENA VALENTE VAINILLA X200GR,BUDINES Y MAGDALENAS,"2879,0","2879,0",,,,"2520,01",,"3050,0",,,"2447,0",,,,"2900,0","2199,0","2199,0",200GR,MADALENA,MADALENA VALENTE VAINILLA X200GR,"2199,0","3050,0","2634,1262500000003",8,"VITAL, YAGUAR",LISTA,"16,518807707109715","435,12625000000025",False
181920,MADALENA VALENTE RELLENA DDL X200GR,BUDINES Y MAGDALENAS,"2879,0","2879,0",,,,"2520,01",,"3050,0",,,"2447,0",,,,"2900,0","2199,0","2199,0",200GR,MADALENA,MADALENA VALENTE RELLENA DDL X200GR,"2199,0","3050,0","2634,1262500000003",8,"VITAL, YAGUAR",LISTA,"16,518807707109715","435,12625000000025",False
